Z,N,symb,radius, unc, energy, unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quad , unc,Qb-,unc,Qb- n,unc,Qa, unc, Qec, unc,Sn,unc, Sp,unc,Binding/A,unc,atomic mass, unc, mass excess,unc
72,101,Hf,5.3140,38,0.0,0.0,1/2-, ,23.6,1,H,84960.0,360.0,EC+B+,100.0,0.0, , , , , , , , , , , ,-3015.246,39520,-12153.12,40,2540.86,28,1469.132,28,7080.88,37,5964.77,28,8066.016,162,172940513,30000,-55411.784,27945,
72,102,Hf,5.3201,35,0.0,0.0,0+, ,2.0E+15,4,Y,6.31152E22,1.262304E22,A,100.0,0.0, , , , , , , , , , , ,-4103.715,28036,-11519.26,28,2494.52,225,-274.286,2749,8504.01,28,6252.54,217,8068.533,13,173940048.48,2424,-55844.481,2259,
72,103,Hf,5.3191,36,0.0,0.0,5/2(-), ,70,2,D,6048000.0,172800.0,EC,100.0,0.0, , , , , , , ,-0.539, ,2.8, ,-2073.015,28038,-10812.21,28,2400.23,227,683.92,258,6708.50,38,6200.44,219,8060.761,13,174941511.527,2449,-54481.662,2282,
72,104,Hf,5.3286,32,0.0,0.0,0+, ,STABLE, , , , , , , , , , , , , , , , , , ,-3210.948,30775,-10238.99,28,2254.21,148,-1194.085,1914,8165.98,178,6699.71,89,8061.359,8,175941409.905,1590,-54576.321,1481,
72,105,Hf,5.3309,31,0.0,0.0,7/2-, ,STABLE, , , , , , , , , , , , , , , , , , ,-1166,3000,-9586.56,31,2245.69,141,-496.81,186,6375.61,102,6787.35,80,8051.835,8,176943230.32,1511,-52880.616,1408,
72,106,Hf,5.3371,31,0.0,0.0,0+, ,STABLE, , , , , , , , , , , , , , , , , , ,-1837,52,-8791.94,3,2084.36,141,-2097.452,2657,7625.94,18,7340.40,80,8049.442,8,177943708.456,1516,-52435.236,1412,
72,107,Hf,5.3408,31,0.0,0.0,9/2+, ,STABLE, , , , , , , , , , , , , , ,-0.6409, ,3.79, ,-105.584,409,-7936,52,1807.73,141,-1403.989,5,6098.99,8,7414.09,204,8038.546,8,178945825.838,1517,-50462.907,1413,
72,108,Hf,5.3470,32,0.0,0.0,0+, ,STABLE, , , , , , , , , , , , , , , , , , ,-846.471,2269,-7493.34,44,1287.05,142,-3103.0,71,7387.76,15,8009.40,5,8034.93,8,179946559.669,1522,-49779.348,1419,
72,109,Hf,,,0.0,0.0,1/2-, ,42.39,6,D,3662496.0,5184.0,B-,100.0,0.0, , , , , , , , , , , ,1035.48,1834,-6541.27,227,1158.65,144,-2605.421,126,5694.80,7,8015.45,71,8022.002,8,180949110.965,1524,-47402.831,1420,
72,110,Hf,5.3516,36,0.0,0.0,0+, ,8.90E+6,9,Y,2.8086264E14,2.840184E12,B-,100.0,0.0, , , , , , , , , , , ,380.425,6274,-5682.51,6,1221.05,12,-4169.508,196,6717.99,6,8541.07,126,8014.837,34,181950563.816,6618,-46049.508,6165,
